x_value,total_1,total_2
0,1000,1000
1,996,1000
2,1004,998
3,1005,994
4,1001,999
5,998,999
6,993,1003
7,992,1007
8,999,1011
9,996,1013
10,997,1018
11,1001,1018
12,1007,1016
13,1009,1014
14,1007,1014
15,1005,1016
16,1006,1021
17,1001,1017
18,1003,1018
19,998,1022
20,1004,1022
21,1005,1019
22,1001,1025
23,1000,1023
24,1001,1024
25,1006,1028
26,1011,1031
27,1018,1033
28,1013,1033
29,1018,1033
30,1012,1037
31,1015,1039
32,1009,1042
33,1010,1048
34,1006,1049
35,1006,1045
36,1000,1049
37,1000,1044
38,994,1039
39,992,1034
40,996,1038
41,991,1036
42,987,1037
43,986,1036
44,988,1040
45,992,1040
46,986,1045
47,983,1040
48,986,1035
49,983,1036
50,983,1042
51,985,1039
52,986,1038
